node,parameter,value,unit
Tame (Source to Chew Brook),downstream_id,Tame (Chew Brook to Swineshaw Brook),-
Tame (Source to Chew Brook),type,catchment,-
Chew Brook,downstream_id,Tame (Chew Brook to Swineshaw Brook),-
Chew Brook,type,catchment,-
Tame (Chew Brook to Swineshaw Brook),downstream_id,Tame (Swineshaw Brook to Mersey),-
Tame (Chew Brook to Swineshaw Brook),type,catchment,-
Tame (Swineshaw Brook to Mersey),downstream_id,Mersey (upstream of Manchester Ship Canal),-
Tame (Swineshaw Brook to Mersey),type,catchment,-
Wilson Brook,downstream_id,Tame (Swineshaw Brook to Mersey),-
Wilson Brook,type,catchment,-
Etherow (Source to Woodhead Reservoir),downstream_id,Etherow (Woodhead Res. to Glossop Bk.),-
Etherow (Source to Woodhead Reservoir),type,catchment,-
Heyden Brook,downstream_id,Etherow (Woodhead Res. to Glossop Bk.),-
Heyden Brook,type,catchment,-
Crowden Great Brook,downstream_id,Etherow (Woodhead Res. to Glossop Bk.),-
Crowden Great Brook,type,catchment,-
Etherow (Woodhead Res. to Glossop Bk.),downstream_id,Etherow (Glossop Brook to Goyt),-
Etherow (Woodhead Res. to Glossop Bk.),type,catchment,-
Glossop (Shelf) Brook (Source to Long Clough Brook),downstream_id,Long Clough Brook,-
Glossop (Shelf) Brook (Source to Long Clough Brook),type,catchment,-
Hurst Brook,downstream_id,Glossop (Shelf) Brook (Source to Long Clough Brook),-
Hurst Brook,type,catchment,-
Long Clough Brook,downstream_id,Glossop Brook (Long Clough Brook to Etherow),-
Long Clough Brook,type,catchment,-
Glossop Brook (Long Clough Brook to Etherow),downstream_id,Etherow (Glossop Brook to Goyt),-
Glossop Brook (Long Clough Brook to Etherow),type,catchment,-
Etherow (Glossop Brook to Goyt),downstream_id,Goyt (Etherow to Mersey),-
Etherow (Glossop Brook to Goyt),type,catchment,-
Goyt (Source to Randall Carr Brook),downstream_id,Goyt (Randall Carr Brook to Sett).,-
Goyt (Source to Randall Carr Brook),type,catchment,-
Todd Brook,downstream_id,Goyt (Randall Carr Brook to Sett).,-
Todd Brook,type,catchment,-
Randall Carr Brook,downstream_id,Goyt (Randall Carr Brook to Sett).,-
Randall Carr Brook,type,catchment,-
Black Brook (Upper Mersey),downstream_id,Goyt (Randall Carr Brook to Sett).,-
Black Brook (Upper Mersey),type,catchment,-
